"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","UNEMP","TOT","PC_LF","A","1955",4.383333,
"USA","UNEMP","TOT","PC_LF","A","1956",4.141667,
"USA","UNEMP","TOT","PC_LF","A","1957",4.258333,
"USA","UNEMP","TOT","PC_LF","A","1958",6.8,
"USA","UNEMP","TOT","PC_LF","A","1959",5.475,
"USA","UNEMP","TOT","PC_LF","A","1960",5.508333,
"USA","UNEMP","TOT","PC_LF","A","1961",6.683333,
"USA","UNEMP","TOT","PC_LF","A","1962",5.541667,
"USA","UNEMP","TOT","PC_LF","A","1963",5.666667,
"USA","UNEMP","TOT","PC_LF","A","1964",5.191667,
"USA","UNEMP","TOT","PC_LF","A","1965",4.525,
"USA","UNEMP","TOT","PC_LF","A","1966",3.783333,
"USA","UNEMP","TOT","PC_LF","A","1967",3.841667,
"USA","UNEMP","TOT","PC_LF","A","1968",3.583333,
"USA","UNEMP","TOT","PC_LF","A","1969",3.508333,
"USA","UNEMP","TOT","PC_LF","A","1970",4.933333,
"USA","UNEMP","TOT","PC_LF","A","1971",5.958333,
"USA","UNEMP","TOT","PC_LF","A","1972",5.616667,
"USA","UNEMP","TOT","PC_LF","A","1973",4.891667,
"USA","UNEMP","TOT","PC_LF","A","1974",5.591667,
"USA","UNEMP","TOT","PC_LF","A","1975",8.466666,
"USA","UNEMP","TOT","PC_LF","A","1976",7.716667,
"USA","UNEMP","TOT","PC_LF","A","1977",7.066667,
"USA","UNEMP","TOT","PC_LF","A","1978",6.066667,
"USA","UNEMP","TOT","PC_LF","A","1979",5.833333,
"USA","UNEMP","TOT","PC_LF","A","1980",7.141667,
"USA","UNEMP","TOT","PC_LF","A","1981",7.6,
"USA","UNEMP","TOT","PC_LF","A","1982",9.708333,
"USA","UNEMP","TOT","PC_LF","A","1983",9.616667,
"USA","UNEMP","TOT","PC_LF","A","1984",7.525,
"USA","UNEMP","TOT","PC_LF","A","1985",7.191667,
"USA","UNEMP","TOT","PC_LF","A","1986",6.991667,
"USA","UNEMP","TOT","PC_LF","A","1987",6.191667,
"USA","UNEMP","TOT","PC_LF","A","1988",5.491667,
"USA","UNEMP","TOT","PC_LF","A","1989",5.266667,
"USA","UNEMP","TOT","PC_LF","A","1990",5.616667,
"USA","UNEMP","TOT","PC_LF","A","1991",6.816667,
"USA","UNEMP","TOT","PC_LF","A","1992",7.508333,
"USA","UNEMP","TOT","PC_LF","A","1993",6.9,
"USA","UNEMP","TOT","PC_LF","A","1994",6.083333,
"USA","UNEMP","TOT","PC_LF","A","1995",5.608333,
"USA","UNEMP","TOT","PC_LF","A","1996",5.416667,
"USA","UNEMP","TOT","PC_LF","A","1997",4.95,
"USA","UNEMP","TOT","PC_LF","A","1998",4.508333,
"USA","UNEMP","TOT","PC_LF","A","1999",4.216667,
"USA","UNEMP","TOT","PC_LF","A","2000",3.991667,
"USA","UNEMP","TOT","PC_LF","A","2001",4.733333,
"USA","UNEMP","TOT","PC_LF","A","2002",5.775,
"USA","UNEMP","TOT","PC_LF","A","2003",5.991667,
"USA","UNEMP","TOT","PC_LF","A","2004",5.533333,
"USA","UNEMP","TOT","PC_LF","A","2005",5.066667,
"USA","UNEMP","TOT","PC_LF","A","2006",4.616667,
"USA","UNEMP","TOT","PC_LF","A","2007",4.616667,
"USA","UNEMP","TOT","PC_LF","A","2008",5.775,
"USA","UNEMP","TOT","PC_LF","A","2009",9.266666,
"USA","UNEMP","TOT","PC_LF","A","2010",9.616667,
"USA","UNEMP","TOT","PC_LF","A","2011",8.95,
"USA","UNEMP","TOT","PC_LF","A","2012",8.066667,
"USA","UNEMP","TOT","PC_LF","A","2013",7.375,
"USA","UNEMP","TOT","PC_LF","A","2014",6.166667,
"USA","UNEMP","TOT","PC_LF","A","2015",5.291667,
"USA","UNEMP","TOT","PC_LF","A","2016",4.866667,
"USA","UNEMP","TOT","PC_LF","A","2017",4.35,
